epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4322.97,1.55921,2.16494,1.56906,0.68608,0.61561,0.67741,0.35,1.6771,1.45263,1.60846,0.0099988,0.00333293,0.0099988,0.00333293,0.0099988,0.00333293,0.0099988,0.00333293
2,9353.63,1.54447,1.658,1.56434,0.7005,0.63101,0.69673,0.37994,1.57246,1.4124,1.55244,0.0198998,0.00663327,0.0198998,0.00663327,0.0198998,0.00663327,0.0198998,0.00663327
3,12533.6,1.54933,1.64297,1.57384,0.70442,0.63061,0.70209,0.39707,1.52544,1.3829,1.53039,0.0297018,0.0099006,0.0297018,0.0099006,0.0297018,0.0099006,0.0297018,0.0099006
4,15646,1.51858,1.55495,1.55165,0.73068,0.64287,0.72441,0.41471,1.49531,1.3273,1.50934,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,22104.8,1.45678,1.42871,1.50371,0.73674,0.65469,0.73847,0.43382,1.46829,1.2825,1.48701,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,28290.4,1.42519,1.36254,1.47641,0.74792,0.66023,0.7481,0.44252,1.44958,1.26666,1.47121,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,34890.7,1.40445,1.313,1.46529,0.7506,0.66113,0.75162,0.44699,1.44015,1.25355,1.46786,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,38268.6,1.39323,1.27862,1.45151,0.75277,0.66476,0.7551,0.45076,1.4346,1.24161,1.46302,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,41451.2,1.38298,1.25521,1.44149,0.75577,0.6672,0.75894,0.45469,1.42743,1.23304,1.45662,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,44635.7,1.37371,1.23867,1.4349,0.7582,0.6702,0.76202,0.45771,1.42105,1.22505,1.45294,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,48084,1.36729,1.23075,1.4299,0.76252,0.67292,0.76639,0.46247,1.41601,1.21279,1.44864,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,51362.4,1.36546,1.21565,1.42661,0.7719,0.67513,0.77166,0.46605,1.40926,1.20279,1.44388,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,54897.7,1.35785,1.20143,1.42302,0.77572,0.67928,0.77627,0.4702,1.40428,1.18886,1.43974,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,58644.4,1.35406,1.19797,1.41962,0.77792,0.68167,0.78033,0.47456,1.40019,1.17265,1.43506,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,62516.4,1.35383,1.1981,1.4221,0.78732,0.6853,0.78574,0.4799,1.39623,1.15921,1.43083,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,66234.9,1.34866,1.18736,1.41487,0.78561,0.69175,0.78923,0.48422,1.39269,1.14602,1.42543,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,69826.7,1.34806,1.17411,1.41835,0.78766,0.69651,0.7928,0.48796,1.38997,1.13279,1.42497,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,73198.2,1.34431,1.1749,1.41297,0.79047,0.69865,0.79636,0.49111,1.38522,1.12436,1.42095,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,76302.8,1.3381,1.16408,1.41012,0.79429,0.70218,0.80007,0.49443,1.38344,1.11511,1.4184,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,79411.4,1.33963,1.16534,1.4092,0.79479,0.70428,0.80204,0.49759,1.38085,1.10559,1.417,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,82593.3,1.33995,1.16397,1.40919,0.79728,0.70832,0.80522,0.50084,1.38109,1.09267,1.4157,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,85882.1,1.33529,1.15747,1.4065,0.79122,0.7136,0.80714,0.50314,1.37852,1.08681,1.41205,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,89570.5,1.33373,1.16191,1.405,0.8011,0.71391,0.80997,0.50545,1.37527,1.08019,1.40978,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,92821.9,1.33453,1.15283,1.40418,0.80035,0.71538,0.81204,0.50675,1.37402,1.07387,1.40856,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,96195.6,1.33093,1.15567,1.40134,0.79478,0.71693,0.81057,0.50672,1.37339,1.07164,1.40918,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,99745.9,1.33492,1.14734,1.40678,0.80524,0.70852,0.81083,0.50749,1.37408,1.06397,1.40907,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,103319,1.32632,1.14883,1.39967,0.80448,0.7132,0.81216,0.5088,1.3738,1.05996,1.40843,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,107104,1.32901,1.15162,1.404,0.80129,0.71667,0.81273,0.50923,1.37167,1.0596,1.40735,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,110288,1.32853,1.13889,1.39807,0.80626,0.71346,0.81378,0.50955,1.37034,1.05903,1.40706,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,113835,1.32512,1.13656,1.3965,0.81059,0.7123,0.81486,0.51035,1.36838,1.05598,1.40582,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,117599,1.32573,1.13543,1.39521,0.8073,0.71806,0.81692,0.51218,1.36619,1.05235,1.40405,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,121282,1.32229,1.13294,1.39086,0.80626,0.7208,0.81807,0.51379,1.36686,1.04564,1.40297,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,124735,1.32044,1.13268,1.39328,0.80747,0.71975,0.81688,0.51324,1.36446,1.04547,1.4011,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,128663,1.31871,1.1252,1.38886,0.80622,0.72092,0.81718,0.5146,1.36506,1.03939,1.39987,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
